Tree ID,Common Name,Scientific_Name,Genus,Family,DBH,Condition Class,Overall Tree Risk Rating,Tree and Shrub Work Phase,Prune,Pruning Goal 1,Removal,Primary Target,Secondary Target,Plant Part of Concern,Likelihood Failure,Likelihood Impact,Likelihood of Failure and Impact,Consequences of Failure,Advanced Assessment Stem,Advanced Assessment Crown
2759,Ash-White ,Fraxinus americana,Fraxinus,Oleaceae,8,Dead,High,1,...,...,Remove,Walking path,...,Stem,Imminent,Medium,Likely,Severe,...,...
2707,Cherry-Black ,Prunus serotina,Prunus,Rosaceae,30,Poor,Moderate,1,...,...,Remove,Sidewalk,...,Crown,Probable,Medium,Somewhat likely,Severe,...,...
53,Oak-Northern Red ,Quercus rubra,Quercus,Fagaceae,19,Poor,Moderate,1,...,...,Remove,Walking path,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
58,Oak-Northern Red ,Quercus rubra,Quercus,Fagaceae,14,Poor,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Walking path,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
61,Oak-White ,Quercus alba,Quercus ,Fagaceae,32,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Walking path,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
82,Oak-Scarlet ,Quercus coccinea,Quercus,Fagaceae,28,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Parking,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
117,Oak-White ,Quercus alba,Quercus ,Fagaceae,21,Poor,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Walking path,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
248,Oak-Northern Red ,Quercus rubra,Quercus,Fagaceae,32,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
261,Oak-White ,Quercus alba,Quercus ,Fagaceae,42,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,Bike rack,Branches,Probable,Medium,Somewhat likely,Severe,...,...
263,Oak-White ,Quercus alba,Quercus ,Fagaceae,23,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
270,Oak-Northern Red ,Quercus rubra,Quercus,Fagaceae,25,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Picnic table,Sidewalk,Branches,Probable,Medium,Somewhat likely,Severe,...,...
272,Oak-White ,Quercus alba,Quercus ,Fagaceae,32,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
280,Oak-White ,Quercus alba,Quercus ,Fagaceae,24,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Bench,Sidewalk,Branches,Probable,Medium,Somewhat likely,Severe,...,...
302,Oak-White ,Quercus alba,Quercus ,Fagaceae,23,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
306,Oak-White ,Quercus alba,Quercus ,Fagaceae,27,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sitting area,Walking path,Branches,Probable,Medium,Somewhat likely,Severe,...,...
307,Oak-White ,Quercus alba,Quercus ,Fagaceae,37,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Picnic table,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
308,Oak-White ,Quercus alba,Quercus ,Fagaceae,21,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Picnic table,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
319,Willow-Babylon Weeping ,Salix babylonia,Salix,Salicaceae,28,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,Bridge,Branches,Probable,Medium,Somewhat likely,Severe,...,...
323,Maple-Red ,Acer rubrum,Acer,Sapindaceae,18,Poor,Moderate,1,...,...,Remove,Bench,Sidewalk,Branches,Probable,Medium,Somewhat likely,Severe,...,...
329,Beech-American ,Fagus grandifolia,Fagus,Fagaceae,34,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Parking,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
334,Oak-Northern Red ,Quercus rubra,Quercus,Fagaceae,26,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,Parking,Branches,Probable,Medium,Somewhat likely,Severe,...,...
338,Oak-White ,Quercus alba,Quercus ,Fagaceae,28,Poor,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Parking,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
339,Oak-White ,Quercus alba,Quercus ,Fagaceae,25,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Parking,...,Branches,Imminent,Low,Somewhat likely,Severe,...,...
349,Locust-Black ,Robinia pseudoacacia,Robinia,Fabaceae,15,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
354,Oak-White ,Quercus alba,Quercus ,Fagaceae,20,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Parking,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
372,Oak-White ,Quercus alba,Quercus ,Fagaceae,43,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Parking,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
373,Oak-Northern Red ,Quercus rubra,Quercus,Fagaceae,28,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
374,Oak-Northern Red ,Quercus rubra,Quercus,Fagaceae,42,Poor,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,Building,Branches,Probable,Medium,Somewhat likely,Severe,Yes,...
386,Oak-White ,Quercus alba,Quercus ,Fagaceae,36,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Parking,Sidewalk,Branches,Probable,Medium,Somewhat likely,Severe,...,...
401,Oak-Pin ,Quercus palustris,Quercus,Fagaceae,27,Poor,Moderate,1,...,...,Remove,Walking path,Parking,Branches,Probable,Medium,Somewhat likely,Severe,...,...
441,Oak-White ,Quercus alba,Quercus ,Fagaceae,39,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Walking path,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
442,Oak-White ,Quercus alba,Quercus ,Fagaceae,30,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Walking path,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
455,Beech-American ,Fagus grandifolia,Fagus,Fagaceae,12,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Walking path,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
466,Oak-White ,Quercus alba,Quercus ,Fagaceae,15,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Walking path,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
467,Oak-White ,Quercus alba,Quercus ,Fagaceae,33,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Walking path,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
470,Oak-White ,Quercus alba,Quercus ,Fagaceae,31,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Walking path,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
472,Hemlock-Canadian ,Tsuga canadensis,Tsuga,Pinaceae,19,Dead,Moderate,1,...,...,Remove,Walking path,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
710,Hemlock-Canadian ,Tsuga canadensis,Tsuga,Pinaceae,19,Dead,Moderate,1,...,...,Remove,Walking path,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
711,Oak-White ,Quercus alba,Quercus ,Fagaceae,32,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Walking path,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
720,Pine-Austrian ,Pinus nigra,Pinus,Pinaceae,18,Dead,Moderate,1,...,...,Remove,Walking path,...,Stem,Probable,Medium,Somewhat likely,Severe,...,...
745,Maple-Red ,Acer rubrum,Acer,Sapindaceae,31,Poor,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Walking path,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
786,Oak-Northern Red ,Quercus rubra,Quercus,Fagaceae,22,Poor,Moderate,1,...,...,Remove,Street,...,Branches,Probable,Medium,Somewhat likely,Significant,...,...
789,Ash-White ,Fraxinus americana,Fraxinus,Oleaceae,12,Dead,Moderate,1,...,...,Remove,Walking path,Street,Branches,Probable,Medium,Somewhat likely,Severe,...,...
791,Maple-Silver ,Acer saccharinum,Acer,Sapindaceae,48,Poor,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Building,...,Branches,Probable,Medium,Somewhat likely,Significant,...,...
792,Maple-Silver ,Acer saccharinum,Acer,Sapindaceae,49,Poor,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Building,...,Branches,Probable,Medium,Somewhat likely,Significant,...,...
798,Hickory-Shagbark ,Carya ovata,Carya,Juglandaceae,23,Dead,Moderate,1,...,...,Remove,Driveway,...,Branches,Probable,Medium,Somewhat likely,Significant,...,...
799,Oak-White ,Quercus alba,Quercus ,Fagaceae,25,Poor,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Walking path,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
800,Oak-White ,Quercus alba,Quercus ,Fagaceae,28,Poor,Moderate,1,...,...,Remove,Walking path,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
909,Locust-Black ,Robinia pseudoacacia,Robinia,Fabaceae,19,Dead,Moderate,1,...,...,Remove,Sidewalk,Parking,Branches,Probable,Medium,Somewhat likely,Severe,...,...
910,Locust-Black ,Robinia pseudoacacia,Robinia,Fabaceae,18,Poor,Moderate,1,...,...,Remove,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
961,Oak-White ,Quercus alba,Quercus ,Fagaceae,25,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,Parking,Branches,Probable,Medium,Somewhat likely,Severe,...,...
1144,Locust-Black ,Robinia pseudoacacia,Robinia,Fabaceae,18,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Significant,...,...
1145,Oak-White ,Quercus alba,Quercus ,Fagaceae,25,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
1168,Ash-Green ,Fraxinus pennsylvanica,Fraxinus,Oleaceae,14,Dead,Moderate,1,...,...,Remove,Sitting area,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
1171,Oak-White ,Quercus alba,Quercus ,Fagaceae,34,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,Street,Branches,Probable,Medium,Somewhat likely,Severe,...,...
1177,Oak-Northern Red ,Quercus rubra,Quercus,Fagaceae,22,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,Bench,Branches,Probable,Medium,Somewhat likely,Severe,...,...
1179,Pine-Eastern White ,Pinus strobus,Pinus,Pinaceae,27,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
1186,Oak-White ,Quercus alba,Quercus ,Fagaceae,29,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
1187,Maple-Red ,Acer rubrum,Acer,Sapindaceae,15,Poor,Moderate,1,...,...,Remove,Sidewalk,...,Stem,Probable,Medium,Somewhat likely,Severe,...,...
1190,Oak-Northern Red ,Quercus rubra,Quercus,Fagaceae,47,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
1191,Oak-Northern Red ,Quercus rubra,Quercus,Fagaceae,44,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,Street,Branches,Probable,Medium,Somewhat likely,Severe,...,...
1512,Maple-Red ,Acer rubrum,Acer,Sapindaceae,19,Poor,Moderate,1,...,...,Remove,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Significant,...,...
1539,Maple-Red ,Acer rubrum,Acer,Sapindaceae,5,Dead,Moderate,1,...,...,Remove,Sidewalk,...,Stem,Probable,Medium,Somewhat likely,Severe,...,...
1557,Walnut-Black ,Juglans nigra,Juglans,Juglandaceae,19,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
1558,Beech-American ,Fagus grandifolia,Fagus,Fagaceae,19,Dead,Moderate,1,...,...,Remove,Street,...,Stem,Probable,Medium,Somewhat likely,Significant,...,...
1565,Oak-Northern Red ,Quercus rubra,Quercus,Fagaceae,31,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Parking,...,Branches,Probable,Medium,Somewhat likely,Significant,...,...
1566,Maple-Red ,Acer rubrum,Acer,Sapindaceae,20,Poor,Moderate,1,...,...,Remove,Parking,...,Crown,Probable,Medium,Somewhat likely,Significant,...,...
1569,Oak-Northern Red ,Quercus rubra,Quercus,Fagaceae,36,Poor,Moderate,1,...,...,Remove,Parking,...,Branches,Probable,Medium,Somewhat likely,Significant,...,...
1571,Oak-Northern Red ,Quercus rubra,Quercus,Fagaceae,24,Poor,Moderate,1,...,...,Remove,Street,...,Branches,Probable,Medium,Somewhat likely,Significant,...,...
1583,Maple-Red ,Acer rubrum,Acer,Sapindaceae,25,Poor,Moderate,1,...,...,Remove,Sidewalk,...,Crown,Probable,Medium,Somewhat likely,Severe,...,...
1587,Oak-Northern Red ,Quercus rubra,Quercus,Fagaceae,35,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
1589,Oak-White ,Quercus alba,Quercus ,Fagaceae,25,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sitting area,Path,Branches,Probable,Medium,Somewhat likely,Severe,...,...
1591,Oak-Chestnut ,Quercus montana,Quercus,Fagaceae,26,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sitting area,Path,Branches,Probable,Medium,Somewhat likely,Severe,...,...
2621,Oak-White ,Quercus alba,Quercus ,Fagaceae,29,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,Building,Branches,Probable,Medium,Somewhat likely,Severe,...,...
2626,Oak-White ,Quercus alba,Quercus ,Fagaceae,29,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
2627,Oak-White ,Quercus alba,Quercus ,Fagaceae,47,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Severe,Yes,...
2631,Pine-Austrian ,Pinus nigra,Pinus,Pinaceae,20,Poor,Moderate,1,...,...,Remove,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
2646,Oak-Northern Red ,Quercus rubra,Quercus,Fagaceae,13,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
2649,Oak-White ,Quercus alba,Quercus ,Fagaceae,29,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
2664,Hickory-Shagbark ,Carya ovata,Carya,Juglandaceae,14,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
2675,Oak-White ,Quercus alba,Quercus ,Fagaceae,40,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Driveway,Parking,Branches,Probable,Medium,Somewhat likely,Severe,...,...
2696,Spruce-Norway ,Picea abies,Picea,Pinaceae,31,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Significant,...,...
2708,Cherry-Black ,Prunus serotina,Prunus,Rosaceae,26,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
2744,Maple-Sugar ,Acer saccharum,Acer,Sapindaceae,25,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Crown,Probable,Medium,Somewhat likely,Severe,...,...
2755,Oak-Chestnut ,Quercus montana,Quercus,Fagaceae,15,Dead,Moderate,1,...,...,Remove,Walking path,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
2756,Pine-Eastern White ,Pinus strobus,Pinus,Pinaceae,18,Dead,Moderate,1,...,...,Remove,Walking path,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
2758,Cherry-Black ,Prunus serotina,Prunus,Rosaceae,9,Poor,Moderate,1,...,...,Remove,Walking path,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
2760,Cherry-Black ,Prunus serotina,Prunus,Rosaceae,9,Poor,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Walking path,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
2761,Oak-Scarlet ,Quercus coccinea,Quercus,Fagaceae,15,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Walking path,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
2762,Ash-White ,Fraxinus americana,Fraxinus,Oleaceae,16,Dead,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Walking path,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
2763,Tree of Heaven ,Ailanthus altissima,Ailanthus,Simaroubaceae,16,Fair,Moderate,1,...,...,Remove,Walking path,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
2764,Oak-Black ,Quercus velutina,Quercus,Fagaceae,30,Poor,Moderate,1,...,...,Remove,Walking path,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
2765,Oak-Black ,Quercus velutina,Quercus,Fagaceae,30,Poor,Moderate,1,...,...,Remove,Walking path,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
2768,Oak-White ,Quercus alba,Quercus ,Fagaceae,30,Dead,Moderate,1,...,...,Remove,Street,...,Branches,Probable,Medium,Somewhat likely,Significant,...,...
2771,Pine ,Pinus spp.,Pinus,Pinaceae,10,Dead,Moderate,1,...,...,Remove,Walking path,Building,Stem,Probable,Medium,Somewhat likely,Severe,...,...
2826,Oak-Pin ,Quercus palustris,Quercus,Fagaceae,23,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Significant,...,...
2850,Maple-Red ,Acer rubrum,Acer,Sapindaceae,21,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,Lighting,Branches,Probable,Medium,Somewhat likely,Severe,...,...
2852,Tuliptree ,Liriodendron tulipifera,Liriodendron,Magnoliaceae,19,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
2854,Tuliptree ,Liriodendron tulipifera,Liriodendron,Magnoliaceae,25,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
2855,Oak-Northern Red ,Quercus rubra,Quercus,Fagaceae,30,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,Lighting,Branches,Probable,Medium,Somewhat likely,Severe,...,...
2860,Maple-Red ,Acer rubrum,Acer,Sapindaceae,18,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
2861,Oak-Northern Red ,Quercus rubra,Quercus,Fagaceae,34,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,Building,Branches,Probable,Medium,Somewhat likely,Severe,Yes,...
2867,Hickory-Shagbark ,Carya ovata,Carya,Juglandaceae,25,Poor,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,Lighting,Branches,Probable,Medium,Somewhat likely,Severe,Yes,...
2873,Tuliptree ,Liriodendron tulipifera,Liriodendron,Magnoliaceae,30,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,Lighting,Branches,Probable,Medium,Somewhat likely,Severe,...,...
2889,Maple-Norway ,Acer platanoides,Acer,Sapindaceae,48,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,Building,Branches,Probable,Medium,Somewhat likely,Severe,...,...
2891,Oak-Black ,Quercus velutina,Quercus,Fagaceae,30,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,Building,Branches,Probable,Medium,Somewhat likely,Severe,...,...
2893,Tuliptree ,Liriodendron tulipifera,Liriodendron,Magnoliaceae,20,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,Building,Branches,Probable,Medium,Somewhat likely,Severe,...,...
2902,Locust-Black ,Robinia pseudoacacia,Robinia,Fabaceae,16,Poor,Moderate,1,...,...,Remove,Building,...,Stem,Probable,Medium,Somewhat likely,Significant,...,...
2909,Dogwood-Kousa ,Cornus kousa,Cornus,Cornaceae,5,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sitting area,Sidewalk,Branches,Probable,Medium,Somewhat likely,Severe,...,...
462,Oak-Northern Red ,Quercus rubra,Quercus,Fagaceae,19,Fair,Low,1,Yes,Reduce risk of branch stem and/or root failure,...,Walking path,...,Branches,Probable,Low,Unlikely,Severe,...,...
787,Pine-Scots ,Pinus sylvestris,Pinus,Pinaceae,20,Poor,Low,1,Yes,Reduce risk of branch stem and/or root failure,...,Street,...,Branches,Probable,Low,Unlikely,Minor,...,...
788,Pine-Scots ,Pinus sylvestris,Pinus,Pinaceae,22,Poor,Low,1,...,...,Remove,Street,...,Stem,Probable,Low,Unlikely,Significant,...,...
908,Ash-Green ,Fraxinus pennsylvanica,Fraxinus,Oleaceae,14,Poor,Low,1,...,...,Remove,Parking,...,Branches,Probable,Medium,Somewhat likely,Minor,...,...
943,Ash-Green ,Fraxinus pennsylvanica,Fraxinus,Oleaceae,7,Dead,Low,1,...,...,Remove,Driveway,...,Branches,Probable,Medium,Somewhat likely,Negligible,...,...
962,Oak-White ,Quercus alba,Quercus ,Fagaceae,21,Fair,Low,1,Yes,Reduce risk of branch stem and/or root failure,...,Parking,...,Branches,Probable,Medium,Somewhat likely,Minor,...,...
964,Oak-White ,Quercus alba,Quercus ,Fagaceae,21,Fair,Low,1,Yes,Reduce risk of branch stem and/or root failure,...,Parking,...,Branches,Probable,Medium,Somewhat likely,Minor,Yes,Yes
966,Oak-White ,Quercus alba,Quercus ,Fagaceae,25,Fair,Low,1,Yes,Reduce risk of branch stem and/or root failure,...,Parking,...,Branches,Probable,Medium,Somewhat likely,Minor,...,...
988,Oak-White ,Quercus alba,Quercus ,Fagaceae,26,Poor,Low,1,Yes,Reduce risk of branch stem and/or root failure,...,Parking,...,Branches,Probable,Medium,Somewhat likely,Minor,...,...
989,Oak-White ,Quercus alba,Quercus ,Fagaceae,24,Fair,Low,1,Yes,Reduce risk of branch stem and/or root failure,...,Parking,...,Branches,Probable,Medium,Somewhat likely,Minor,Yes,...
999,Oak-White ,Quercus alba,Quercus ,Fagaceae,20,Poor,Low,1,Yes,Reduce risk of branch stem and/or root failure,...,Driveway,Parking,Branches,Probable,Medium,Somewhat likely,Minor,...,...
1104,Oak-White ,Quercus alba,Quercus ,Fagaceae,17,Poor,Low,1,...,...,Remove,Parking,...,Branches,Probable,Medium,Somewhat likely,Minor,...,...
1143,Oak-White ,Quercus alba,Quercus ,Fagaceae,37,Good,Low,1,Yes,Reduce risk of branch stem and/or root failure,...,Parking,Sidewalk,Branches,Probable,Medium,Somewhat likely,Minor,...,...
1163,Ash-Green ,Fraxinus pennsylvanica,Fraxinus,Oleaceae,13,Dead,Low,1,...,...,Remove,Parking,...,Branches,Probable,Medium,Somewhat likely,Minor,...,...
1164,Ash-Green ,Fraxinus pennsylvanica,Fraxinus,Oleaceae,8,Poor,Low,1,...,...,Remove,Driveway,...,Branches,Probable,Medium,Somewhat likely,Negligible,...,...
1166,Oak-Northern Red ,Quercus rubra,Quercus,Fagaceae,15,Poor,Low,1,...,...,Remove,Parking,Lighting,Branches,Probable,Medium,Somewhat likely,Negligible,...,...
1167,Ash-Green ,Fraxinus pennsylvanica,Fraxinus,Oleaceae,24,Fair,Low,1,Yes,Reduce risk of branch stem and/or root failure,...,Parking,...,Branches,Probable,Medium,Somewhat likely,Negligible,...,...
1515,Ash-White ,Fraxinus americana,Fraxinus,Oleaceae,10,Poor,Low,1,...,...,Remove,Building,...,Crown,Probable,Medium,Somewhat likely,Minor,...,...
2748,Ash-White ,Fraxinus americana,Fraxinus,Oleaceae,18,Dead,Low,1,...,...,Remove,Building,...,Stem,Probable,Low,Unlikely,Significant,...,...
2751,Oak-Chestnut ,Quercus montana,Quercus,Fagaceae,17,Dead,Low,1,...,...,Remove,Walking path,...,Branches,Probable,Low,Unlikely,Severe,...,...
2752,Oak-Chestnut ,Quercus montana,Quercus,Fagaceae,19,Dead,Low,1,...,...,Remove,Walking path,...,Branches,Probable,Low,Unlikely,Severe,...,...
2753,Oak-White ,Quercus alba,Quercus ,Fagaceae,34,Good,Low,1,Yes,Reduce risk of branch stem and/or root failure,...,Walking path,...,Branches,Probable,Low,Unlikely,Severe,...,...
2754,Oak-White ,Quercus alba,Quercus ,Fagaceae,22,Good,Low,1,Yes,Reduce risk of branch stem and/or root failure,...,Walking path,Lighting,Branches,Probable,Low,Unlikely,Severe,...,...
2757,Pine-Eastern White ,Pinus strobus,Pinus,Pinaceae,13,Fair,Low,1,Yes,Reduce risk of branch stem and/or root failure,...,Walking path,...,Branches,Probable,Low,Unlikely,Severe,...,...
2766,Hickory-Pignut ,Carya glabra,Carya,Juglandaceae,14,Fair,Low,1,Yes,Reduce risk of branch stem and/or root failure,...,Street,...,Branches,Probable,Low,Unlikely,Minor,...,...
2767,Oak-White ,Quercus alba,Quercus ,Fagaceae,24,Poor,Low,1,Yes,Reduce risk of branch stem and/or root failure,...,Street,...,Branches,Probable,Low,Unlikely,Significant,...,...
2769,Oak-Pin ,Quercus palustris,Quercus,Fagaceae,19,Fair,Low,1,Yes,Reduce risk of branch stem and/or root failure,...,Street,Infrastructure,Branches,Probable,Low,Unlikely,Minor,...,...
2770,Pine-Shortleaf ,Pinus echinata,Pinus,Pinaceae,17,Fair,Low,1,Yes,Reduce risk of branch stem and/or root failure,...,Street,...,Branches,Probable,Low,Unlikely,Minor,...,...
2772,Pine ,Pinus spp.,Pinus,Pinaceae,17,Dead,Low,1,...,...,Remove,Walking path,Building,Stem,Probable,Low,Unlikely,Severe,...,...
2773,Pine ,Pinus spp.,Pinus,Pinaceae,14,Dead,Low,1,...,...,Remove,Walking path,Building,Stem,Probable,Low,Unlikely,Severe,...,...
